id,name,reviews.text,reviews.doRecommend,reviews.rating,sentiment
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Too small I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,False,3,Neutral
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great light reader. Easy to use at the beach This kindle is light and easy to use especially at the beach!!!,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Great for the price Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","A Great Buy I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Solid entry-level Kindle. Great for kids Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Good ebook This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,False,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Light Weight - Makes a world of difference when taking books on the go! I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",not good quality I bought my Kindle about 2 months ago and the battery is already dead and will not charge,False,4,Negative
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","best ebook amazon kindle is always the best ebook, upgrade every new model",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Great Product It's beyond my expectation, and it can even show music score. Not fast turning though.",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Good price excellent reader If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","feels like a real book Love my kindle, makes reading at night so easy and it feels like you are reading a real book.",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great readers Good product for child. Who only need to read the books,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Just what my grandson wanted This Kindle is a convenient size yet lettering is easy to read.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Great for reading on the go I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Does its job It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,True,3,Neutral
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great! Great product for myself! And I bought it when there was great deal on it!,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Work Item work well and was easy to read from in day light,True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great product and service Great product and service will refer to a friend. And the sales man r good,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",External pdf does not work properly Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!,True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Tricked into buying I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",False,1,Negative
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Easy to use, bare-bones reading device This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.",True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Great e-reader for beginners Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Good Deal for the Price The Amazon Kindle is light weight and easy to use.,True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Great I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",True,4,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Easy and simple Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Compact and light My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great product at great price. I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.,True,5,Positive
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Great reading tool I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,True,5,Positive
